0-499,500-999,1000-1499,1500-2999,3000-3499,3500-3999,4000-4499,4500-4999,5000-5499,5500-5999
100,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7
90,14.7,14,14.7,14.7,14.7,14,14.7,14.7,14.7,14.7
80,4.7,14.7,14.7,15,14.7,14.7,14.7,14.7,14,14.7
70,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7
60,14.7,14.7,14.7,14.7,14.7,15,14.7,15,14.7,14.7
50,14.7,14.7,15,14.7,14,14.7,14.7,14.7,14.7,14.7
40,15,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7
30,14.7,14.7,14.7,14.7,14.7,14.7,15,14,14.7,14.7
20,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,15
10,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7
0,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7
0,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7
